,User,Date,Compound,Positive,Negative,Neutral,Tweet Text,Tweets Ago
28,@FoxNews,Sun Aug 26 20:46:18 +0000 2018,-0.69,0.24,0.493,0.267,"Jacksonville Sheriff: Scene cleared, one suspect dead, no outstanding suspects. https://t.co/xOJYsFlQ5r https://t.co/3hPIw6huvO",29
29,@FoxNews,Sun Aug 26 20:45:11 +0000 2018,0.0,0.0,0.0,1.0,"Jamie Weinstein on @SenJohnMcCain: ""I think that the overwhelming majority of the American public looks to John McC… https://t.co/TtGiYDFtWh",30
30,@FoxNews,Sun Aug 26 20:41:03 +0000 2018,-0.36,0.0,0.143,0.857,'It Was a Rigged System': Caldwell &amp; Dem Strategist Debate Influence of Superdelegates After DNC Vote https://t.co/YlnEoS4MlZ,31
31,@FoxNews,Sun Aug 26 20:38:18 +0000 2018,-0.65,0.0,0.281,0.719,Army soldier among 4 dead when skydiving plane crashes at Georgia airport https://t.co/v7tRhwQmo0,32
32,@FoxNews,Sun Aug 26 20:37:56 +0000 2018,-0.54,0.0,0.2,0.8,"Jacksonville Landing shooting kills at least 4, sources say; gunfire heard at gaming tournament https://t.co/8MdFhFB4aO",33
33,@FoxNews,Sun Aug 26 20:32:25 +0000 2018,0.0,0.0,0.0,1.0,Florida law enforcement officials hold a press conference on the shooting at a Madden video game tournament in Jack… https://t.co/M6sr8duB6e,34
34,@FoxNews,Sun Aug 26 20:31:47 +0000 2018,-0.65,0.0,0.235,0.765,"Law enforcement: 15 people shot, 4 dead; 11 being treated in deadly mass shooting. https://t.co/xOJYsFlQ5r https://t.co/uhdwr3ZWM5",35
35,@FoxNews,Sun Aug 26 20:31:17 +0000 2018,0.45,0.14,0.0,0.86,"NEWS ALERT: Awaiting Jacksonville Sheriff to hold briefing on deadly mass shooting - for full live coverage, tune i… https://t.co/d0s92Lvszf",36
36,@FoxNews,Sun Aug 26 20:30:00 +0000 2018,0.0,0.0,0.0,1.0,Jimmy Carter remembers John McCain. https://t.co/bxul6PstMC,37
37,@FoxNews,Sun Aug 26 20:28:34 +0000 2018,0.0,0.0,0.0,1.0,Celebrities react to Jacksonville 'mass shooting' https://t.co/iuvgngghV2,38
38,@FoxNews,Sun Aug 26 20:25:00 +0000 2018,0.42,0.128,0.0,0.872,"Sen. John McCain: ""My accomplishments are more a testament to my country, the land of opportunity, than they are to… https://t.co/z622ubqCqk",39
39,@FoxNews,Sun Aug 26 20:15:00 +0000 2018,0.0,0.0,0.0,1.0,Wall Street record highs. https://t.co/iLJzfz1tiP,40
40,@FoxNews,Sun Aug 26 20:12:15 +0000 2018,0.0,0.0,0.0,1.0,.@WhiteHouse: @POTUS has been briefed on the Jacksonville mass shooting. https://t.co/xOJYsFlQ5r https://t.co/nsY5y2nlv7,41
41,@FoxNews,Sun Aug 26 20:09:08 +0000 2018,-0.57,0.0,0.27,0.73,Jacksonville 'mass shooting' sparks reaction from political figures: 'Horrifying news' https://t.co/YuHhcW9cqT,42
42,@FoxNews,Sun Aug 26 20:06:49 +0000 2018,-0.76,0.0,0.419,0.581,"Jacksonville Landing mass shooting leaves 'multiple fatalities,' suspect dead: police https://t.co/v52RDm4UOX",43
43,@FoxNews,Sun Aug 26 20:03:24 +0000 2018,0.49,0.158,0.0,0.842,"In a statement, former President George W. Bush remembered John McCain as a friend that he would “deeply miss.”… https://t.co/QYhky7vAzo",44
44,@FoxNews,Sun Aug 26 20:01:54 +0000 2018,-0.6,0.0,0.281,0.719,"Jacksonville Sheriff: Multiple fatalities at shooting scene, many transported. https://t.co/xOJYsFlQ5r https://t.co/xDGBOvslO6",45
45,@FoxNews,Sun Aug 26 19:55:16 +0000 2018,0.0,0.0,0.0,1.0,"ATF responding to mass shooting in downtown Jacksonville, Florida. https://t.co/xOJYsFlQ5r https://t.co/C37JpWMpTW",46
46,@FoxNews,Sun Aug 26 19:53:50 +0000 2018,-0.91,0.0,0.467,0.533,MS-13 member in Virginia pleads guilty to murder for hacking man to death with machete https://t.co/c8FCUJBuMg,47
47,@FoxNews,Sun Aug 26 19:53:00 +0000 2018,0.59,0.232,0.0,0.768,"TONIGHT: Don't miss @KatiePavlich and @RealCandaceO on ""Life, Liberty, &amp; Levin"" with @marklevinshow. Tune in at 10p… https://t.co/7SWmi8yiZC",48
48,@FoxNews,Sun Aug 26 19:46:27 +0000 2018,0.03,0.09,0.086,0.824,".@JSOPIO: ""We are finding many people hiding in locked areas at The Landing.  We ask you to stay calm, stay where y… https://t.co/bzqZUKGVP9",49
49,@FoxNews,Sun Aug 26 19:44:24 +0000 2018,0.0,0.0,0.0,1.0,At least 12 gunshots can be heard in video clip of Madden tournament in Jacksonville. https://t.co/xOJYsFlQ5r https://t.co/d7atkZXEmL,50
50,@FoxNews,Sun Aug 26 19:42:37 +0000 2018,0.0,0.0,0.0,1.0,"Former DC Police Det. Ted Williams on Jacksonville shooting: ""Law enforcement have gotten to be more strategic in h… https://t.co/CprHol4AVP",51
51,@FoxNews,Sun Aug 26 19:40:17 +0000 2018,0.0,0.0,0.0,1.0,"Shooting reportedly occurred during a Madden tournament at a video game bar in Jacksonville, Fla.… https://t.co/xfOsuNnlRN",52
52,@FoxNews,Sun Aug 26 19:36:02 +0000 2018,-0.32,0.0,0.15,0.85,Report: Gunman was a gamer who was competing in the tournament and lost. https://t.co/xOJYsFlQ5r https://t.co/eHfNWUAoLX,53
53,@FoxNews,Sun Aug 26 19:33:00 +0000 2018,0.0,0.0,0.0,1.0,"U.S. Markets since March 9, 2009. https://t.co/6IadeNgc5z",54
54,@FoxNews,Sun Aug 26 19:32:00 +0000 2018,0.0,0.0,0.0,1.0,Poll: Texas Senate race. https://t.co/Tbx4IyL39c,55
55,@FoxNews,Sun Aug 26 19:30:19 +0000 2018,-0.32,0.0,0.15,0.85,Report: Gunman was a gamer who was competing in the tournament and lost. https://t.co/xOJYsFlQ5r https://t.co/svYWAMi706,56
56,@FoxNews,Sun Aug 26 19:27:47 +0000 2018,0.15,0.127,0.0,0.873,Jacksonville Sheriff: SWAT is doing a methodical search inside Jacksonville landing https://t.co/xOJYsFlQ5r https://t.co/2ZxunuE2sK,57
57,@FoxNews,Sun Aug 26 19:25:40 +0000 2018,0.0,0.0,0.0,1.0,"ATF responding to mass shooting in downtown Jacksonville, Florida. https://t.co/xOJYsFlQ5r https://t.co/emocostG4G",58
58,@FoxNews,Sun Aug 26 19:23:00 +0000 2018,0.03,0.156,0.152,0.692,"John McCain: ""I don't mind a good fight. For reasons known only to God, I've had quite a few tough ones in my life.… https://t.co/QWe50VUthk",59
59,@FoxNews,Sun Aug 26 19:22:13 +0000 2018,0.0,0.0,0.0,1.0,Jacksonville Sheriff: Shooter could still be in the area. https://t.co/xOJYsFlQ5r https://t.co/Y5G5OrOTk5,60
60,@FoxNews,Sun Aug 26 19:14:40 +0000 2018,-0.57,0.0,0.27,0.73,Jacksonville 'mass shooting' sparks reaction from political figures: 'Horrifying news' https://t.co/0opHOPXSyj,61
61,@FoxNews,Sun Aug 26 19:14:32 +0000 2018,-0.3,0.0,0.099,0.901,"Jacksonville Sheriff's Office: ""We are finding many people hiding in locked areas at The Landing.  We ask you to st… https://t.co/DInPPdeACT",62
